SystemName	AccountName	Password	ChangeFrequency	ReleaseDuration	AcctAutoFl	ChangeTime	PasswordRule	SvcChangeFl	UseSelfFl	MinApprovers	DomainAcctName	RelNotifyEmail	CheckFl	ResetFl	ReleaseChgFl	MaxReleaseDuration	Description	TicketSystemName	RequireTixForRequest	RequireTixForISA	RequireTixForCLI	RequireTixForAPI	TixEmailNotify	ReviewCnt	ReviewerTypeDesc	ReviewerDesc	EscalationTime	EscalationEmail	AcctLockFl	SimulPrivAccReleases	BlockAutoChangeFl	IgnoreSystemPolicies	AccountCustom1	AccountCustom2	AccountCustom3	AccountCustom4	AccountCustom5	AccountCustom6	AllowISADurationFl	SystemTemplateFl	OverrideAccountabilityFl	SvcRestartFl	ChgTaskFl	RequireMultiGroupApprovalFl	MultiGroupApproverNames	PasswordChangeProfile	DisableChangeScheduleFl	PasswordCheckProfile	DisableCheckScheduleFl	AcctDN	EnableBeforeReleaseFl	RequireTixForPSM
klbatchsys25	klbatchacc			1470	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				7440	my description		N	N	N	N		1	Any		45	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	Y
klbatchsys26	klbatchacc			1440	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				7500	my description		N	N	N	N		2	Auditor		44	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	Y
klbatchsys27	klbatchacc			1410	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				7560	my description		N	N	N	N		1	Any		43	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N		N	N
klbatchsys28	klbatchacc			1380	Y		PersPwdRule	N	N	3		kltest@tpam.spb.qsft				7620	my description		N	N	N	N		1	User	klbatchuser7	42	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N	cn=testldaps,ou=users,dc=kllinux,dc=spb,dc=qsft	N	N
klbatchsys29	klbatchacc			1350	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				7680	my description		N	N	N	N		1	Any		41	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N		N	Y
klbatchsys3	klbatchacc			1320	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				7740	my description		N	N	N	N		2	Auditor		40	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys30	klbatchacc			1290	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				7800	my description		N	N	N	N		1	Any		39	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys31	klbatchacc			1260	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				7860	my description		N	N	N	N		2	Auditor		38	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys32	klbatchacc			1230	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				7920	my description		N	N	N	N		1	Any		37	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys33	klbatchacc			1200	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				7980	my description		N	N	N	N		2	Auditor		36	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys34	klbatchacc			1170	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				8040	my description		N	N	N	N		1	Any		35	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys35	klbatchacc			1140	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				8100	my description		N	N	N	N		2	Auditor		34	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys36	klbatchacc			1110	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				8160	my description		N	N	N	N		1	Any		33	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys37	klbatchacc			1080	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				8220	my description		N	N	N	N		2	Auditor		32	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys38	klbatchacc			1050	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				8280	my description		N	N	N	N		1	Any		31	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys39	klbatchacc			1020	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				8340	my description		N	N	N	N		2	Auditor		30	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys4	klbatchacc			990	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				8400	my description		N	N	N	N		1	Any		29	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys40	klbatchacc			960	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				8460	my description		N	N	N	N		2	Auditor		28	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys41	klbatchacc			930	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				8520	my description		N	N	N	N		1	Any		27	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys42	klbatchacc			900	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				8580	my description		N	N	N	N		2	Auditor		26	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys43	klbatchacc			870	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				8640	my description		N	N	N	N		1	Any		25	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys44	klbatchacc			840	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				8700	my description		N	N	N	N		2	Group	Global Reviewer Group	24	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys45	klbatchacc			810	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				8760	my description		N	N	N	N		1	Any		23	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N			N		N		N	N
klbatchsys46	klbatchacc			780	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				8820	my description		N	N	N	N		2	Auditor		22	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys47	klbatchacc			750	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				8880	my description		N	N	N	N		1	Any		21	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys48	klbatchacc			720	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				8940	my description		N	N	N	N		2	Auditor		20	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys49	klbatchacc			1020	Y		PersPwdRule	N	N	4		release@tpam.spb.qsft				600	accdesc	PersTicketSystem	Y	Y	N	Y	klticketnotify@tpam.spb.qsft	2	Auditor		4	escalatereview@tpam.spb.qsft	N	3		N							Y	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N		N	Y
klbatchsys5	klbatchacc			660	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				9060	my description		N	N	N	N		2	Auditor		18	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys50	klbatchacc			630	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				9120	my description		N	N	N	N		1	Any		17	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys51	klbatchacc			600	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				9180	my description		N	N	N	N		2	Auditor		16	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys52	klbatchacc			540	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				9240	my description		N	N	N	N		1	Any		15	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys53	klbatchacc			510	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				9300	my description		N	N	N	N		2	Auditor		14	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys54	klbatchacc			480	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				9360	my description		N	N	N	N	klticket@email	1	Any		13	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys55	klbatchacc			450	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				9420	my description	PersTicketSystem	N	N	N	N	klticket@email	2	Auditor		12	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	Y
klbatchsys56	klbatchacc			420	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				9480	my description		N	N	N	N		1	Any		11	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys57	klbatchacc			390	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				9540	my description		N	N	N	N		2	Auditor		10	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys58	klbatchacc			360	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				9600	my description		N	N	N	N		1	Any		9	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys59	klbatchacc			330	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				9660	my description		N	N	N	N		2	Auditor		8	klescalate@tpam.spb.qsft	N	2		Y							Y	N	N	N	N	N			N		N		N	N
klbatchsys6	klbatchacc			300	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				9720	my description		N	N	Y	N	ticket@mail	1	Any		7	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys60	klbatchacc			270	Y		Default Password Rule	Y	Y	3		kltest@tpam.spb.qsft				9780	my description		N	N	N	N		2	Auditor		6	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	Y	Y	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N		N	N
klbatchsys61	klbatchacc			240	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				9840	my description		N	N	N	N		1	Any		5	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	Y
klbatchsys62new	klbatchacc			210	Y		Default Password Rule	Y	N	2		kltest@tpam.spb.qsft				9900	my description		N	N	N	N		2	Group	Global PPM Approver Group	4	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	Y	klbatch_group1;klbatch_group2	PersPassChangeProfile_2	N	PersPassCheckProfile_2	N		N	N
klbatchsys7	klbatchacc			180	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				9960	my description		N	N	N	N		1	Any		3	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	Y
klbatchsys8	klbatchacc			150	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				10020	my description		N	N	N	N		2	Auditor		2	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	Y
klbatchsyswithveryverylongname	klbatchacc			120	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				10080	my description		N	N	N	N		1	Any		1	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	Y
