System Name,Account Name,Current Password,Dflt Change Frequency,Release Duration,Auto-Password Mgmt,Change Time (HH24:MM),Next Change Dt,Password Rule Name,Change Services Flag,Use Current Password Flag,Required Approvers,Domain Account Name,Release Notify Email,Check Flag,Reset Flag,Release Change Flag,Max Release Duration,Account Description,Require Ticket for Request,Ticket System,Require Ticket for ISA Retrieve,Require Ticket for CLI Retrieve,Require Ticket for API Retrieve,Ticket Notification Email,Reviews Required,Reviewer Type,Reviewer,Escalation Email,Escalation Time (hours),Account Locked,Simultaneous Privileged Access Releases,Block Auto Password Change,Ignore System Policies,Account Custom 1,Account Custom 2,Account Custom 3,Account Custom 4,Account Custom 5,Account Custom 6,Allow ISA Duration,Override Individual Accountability,Require Multi-Group Approval,Multi-Group Approver Names,Restart Services Flag,Change Scheduled Tasks Flag,Password Check Profile,Password Change Profile,Enable Before Release Flag,Account DN,Require Ticket for PSM Request
klbatchsys4,klbatchacc,grain41R,0,990,Y,3:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,Y,Y,Y,8400,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,29,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys39,klbatchacc,grain41R,0,1020,N,4:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,N,N,N,8340,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,30,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys38,klbatchacc,grain41R,0,1050,Y,5:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,Y,Y,Y,8280,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,31,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys37,klbatchacc,grain41R,0,1080,N,6:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,N,N,N,8220,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,32,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys36,klbatchacc,grain41R,0,1110,Y,7:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,Y,Y,Y,8160,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,33,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys35,klbatchacc,grain41R,0,1140,N,8:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,N,N,N,8100,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,34,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys34,klbatchacc,grain41R,0,1170,Y,9:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,Y,Y,Y,8040,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,35,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys33,klbatchacc,grain41R,0,1200,N,10:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,N,N,N,7980,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,36,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys32,klbatchacc,grain41R,0,1230,Y,11:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,Y,Y,Y,7920,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,37,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys31,klbatchacc,grain41R,0,1260,N,12:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,N,N,N,7860,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,38,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys30,klbatchacc,grain41R,0,1290,Y,13:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,Y,Y,Y,7800,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,39,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys3,klbatchacc,grain41R,0,1320,N,14:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,N,N,N,7740,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,40,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys29,klbatchacc,grain41R,0,1350,Y,15:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,Y,Y,Y,7680,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,41,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys28,klbatchacc,grain41R,0,1380,N,16:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,N,N,N,7620,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,42,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys27,klbatchacc,grain41R,0,1410,Y,17:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,Y,Y,Y,7560,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,43,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys26,klbatchacc,grain41R,0,1440,N,18:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,N,N,N,7500,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,44,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys25,klbatchacc,grain41R,0,1470,Y,19:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,Y,Y,Y,7440,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,45,N,1,N,N,,,,,,,N,N,,,,,PersPassCheckProfile_1,PersPassChangeProfile_1,,,
klbatchsys24,klbatchacc,grain41R,0,1500,N,20:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,N,N,N,7380,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,46,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys23,klbatchacc,grain41R,0,1530,Y,21:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,Y,Y,Y,7320,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,47,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys22,klbatchacc,grain41R,0,1560,N,22:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,N,N,N,7260,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,48,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys21,klbatchacc,grain41R,0,1590,Y,23:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,Y,Y,Y,7200,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,49,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys20,klbatchacc,grain41R,0,1620,N,0:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,N,N,N,7140,my description,Y,,Y,Y,Y,,2,Auditor,,klescalate@tpam.spb.qsft,50,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys2,klbatchacc,grain41R,0,1650,Y,1:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,Y,Y,Y,7080,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,51,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys19,klbatchacc,grain41R,0,1680,N,2:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,N,N,N,7020,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,52,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys18,klbatchacc,grain41R,0,1710,Y,3:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,Y,Y,Y,6960,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,53,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys17,klbatchacc,grain41R,0,1740,N,4:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,N,N,N,6900,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,54,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys16,klbatchacc,grain41R,0,1770,Y,5:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,Y,Y,Y,6840,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,55,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys15,klbatchacc,grain41R,0,1800,N,6:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,N,N,N,6780,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,56,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys14,klbatchacc,grain41R,0,1830,Y,7:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,Y,Y,Y,6720,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,57,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys13,klbatchacc,grain41R,0,1860,N,8:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,N,N,N,6660,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,58,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys12,klbatchacc,grain41R,0,1890,Y,9:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,Y,Y,Y,6600,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,59,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys11,klbatchacc,grain41R,0,1920,N,10:00,,Default Password Rule,N,N,3,,kltest@tpam.spb.qsft,N,N,N,6540,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,60,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys10,klbatchacc,grain41R,0,1950,Y,11:00,,Default Password Rule,N,N,1,,kltest@tpam.spb.qsft,Y,Y,Y,6480,my description,N,,N,N,N,,1,Any,,klescalate@tpam.spb.qsft,61,N,1,N,N,,,,,,,N,N,,,,,,,,,
klbatchsys1,klbatchacc,grain41R,0,1980,N,12:00,,Default Password Rule,N,N,2,,kltest@tpam.spb.qsft,N,N,N,6420,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,62,N,2,N,N,,,,,,,Y,N,,,,,,,,,
klbatchsys101,klbatchacc,grain41R,0,1980,Y,12:00,,PersPwdRule,N,N,2,,kltest@tpam.spb.qsft,N,N,N,6420,my description,N,,N,N,N,,2,Auditor,,klescalate@tpam.spb.qsft,62,N,2,N,N,,,,,,,Y,N,,,,,,,,"cn=klbatchacc,dc=kllinux,dc=spb,dc=qsft",Y
