SystemName	AccountName	Password	ChangeFrequency	ReleaseDuration	AcctAutoFl	ChangeTime	PasswordRule	SvcChangeFl	UseSelfFl	MinApprovers	DomainAcctName	RelNotifyEmail	CheckFl	ResetFl	ReleaseChgFl	MaxReleaseDuration	Description	TicketSystemName	RequireTixForRequest	RequireTixForISA	RequireTixForCLI	RequireTixForAPI	TixEmailNotify	ReviewCnt	ReviewerTypeDesc	ReviewerDesc	EscalationTime	EscalationEmail	AcctLockFl	SimulPrivAccReleases	BlockAutoChangeFl	IgnoreSystemPolicies	AccountCustom1	AccountCustom2	AccountCustom3	AccountCustom4	AccountCustom5	AccountCustom6	AllowISADurationFl	SystemTemplateFl	OverrideAccountabilityFl	SvcRestartFl	ChgTaskFl	RequireMultiGroupApprovalFl	MultiGroupApproverNames	PasswordChangeProfile	DisableChangeScheduleFl	PasswordCheckProfile	DisableCheckScheduleFl	AcctDN	EnableBeforeReleaseFl	RequireTixForPSM
klbatchsys47	klbatchacc			750	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				8880	my description		N	N	N	N		1	Any		21	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys48	klbatchacc			720	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				8940	my description		N	N	N	N		2	Auditor		20	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys49	klbatchacc			690	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				9000	my description		N	N	N	N		1	Any		19	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys5	klbatchacc			660	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				9060	my description		N	N	N	N		2	Auditor		18	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys50	klbatchacc			630	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				9120	my description		N	N	N	N		1	Any		17	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys51	klbatchacc			600	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				9180	my description		N	N	N	N		2	Auditor		16	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys52	klbatchacc			540	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				9240	my description		N	N	N	N		1	Any		15	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys53	klbatchacc			510	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				9300	my description		N	N	N	N		2	Auditor		14	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys54	klbatchacc			480	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				9360	my description		N	N	N	N		1	Any		13	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys55	klbatchacc			450	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				9420	my description		N	N	N	N		2	Auditor		12	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys56	klbatchacc			420	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				9480	my description		N	N	N	N		1	Any		11	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys57	klbatchacc			390	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				9540	my description		N	N	N	N		2	Auditor		10	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys58	klbatchacc			360	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				9600	my description		N	N	N	N		1	Any		9	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys59	klbatchacc			330	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				9660	my description		N	N	N	N		2	Auditor		8	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys6	klbatchacc			300	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				9720	my description		N	N	N	N		1	Any		7	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys60	klbatchacc			270	N		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				9780	my description		N	N	N	N		2	Auditor		6	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys61	klbatchacc			240	Y		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				9840	my description		N	N	N	N		1	Any		5	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys62	klbatchacc			210	N		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				9900	my description		N	N	N	N		2	Auditor		4	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys7	klbatchacc			180	Y		Default Password Rule	N	N	3		kltest@tpam.spb.qsft				9960	my description		N	N	N	N		1	Any		3	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_1	N	PersPassCheckProfile_1	N		N	N
klbatchsys8	klbatchacc			150	N		Default Password Rule	N	N	2		kltest@tpam.spb.qsft				10020	my description		N	N	N	N		2	Auditor		2	klescalate@tpam.spb.qsft	N	2		N							Y	N	N	N	N	N			N		N		N	N
klbatchsys9	klbatchacc			120	Y		Default Password Rule	N	N	1		kltest@tpam.spb.qsft				10080	my description		N	N	N	N		1	Any		1	klescalate@tpam.spb.qsft	N	1		N							N	N	N	N	N	N		PersPassChangeProfile_2	N	PersPassCheckProfile_2	N		N	N
